gene_description,gene_rank
" ABL proto-oncogene 2, non-receptor tyrosine kinase",4
 ABHD14A-ACY1 readthrough,4
 von Hippel-Lindau tumor suppressor,4
 hes family bHLH transcription factor 5,4
" 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",4
" 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2",4
 ATP binding cassette subfamily A member 1,4
 uridine monophosphate synthetase,4
 uncoupling protein 1,4
 ATP binding cassette subfamily B member 1,4
 ATP binding cassette subfamily B member 11,4
 histone deacetylase 3,4
 histone deacetylase 6,4
 ubiquitin conjugating enzyme E2 J2,4
 ATP binding cassette subfamily C member 2,4
 ATP binding cassette subfamily C member 4,4
 ubiquitin conjugating enzyme E2 J1,4
 ubiquitin conjugating enzyme E2 I,4
 ubiquitin conjugating enzyme E2 G2,4
 ubiquitin conjugating enzyme E2 G1,4
 glyoxylate and hydroxypyruvate reductase,4
 huntingtin associated protein 1,4
 ATP binding cassette subfamily G member 5,4
" 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1",4
 5-hydroxytryptamine receptor 7,4
 5-hydroxytryptamine receptor 6,4
 3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1,4
 1-acylglycerol-3-phosphate O-acyltransferase 3,4
 1-acylglycerol-3-phosphate O-acyltransferase 4,4
 1-acylglycerol-3-phosphate O-acyltransferase 5,4
 3'-phosphoadenosine 5'-phosphosulfate synthase 1,4
 3'-phosphoadenosine 5'-phosphosulfate synthase 2,4
 3-hydroxy-3-methylglutaryl-CoA lyase,4
 3-hydroxy-3-methylglutaryl-CoA reductase,4
 3-hydroxyacyl-CoA dehydratase 1,4
 3-hydroxyacyl-CoA dehydratase 2,4
 3-hydroxyacyl-CoA dehydratase 3,4
 3-hydroxyacyl-CoA dehydratase 4,4
 hedgehog interacting protein,4
histone H2B type F-S-like,4
cytochrome P450 2D6-like,4
 zinc finger and BTB domain containing 17,4
 5-hydroxytryptamine receptor 4,4
" 5', 3'-nucleotidase, cytosolic",4
" 5',3'-nucleotidase, mitochondrial",4
 5'-aminolevulinate synthase 1,4
 5'-aminolevulinate synthase 2,4
 5'-nucleotidase ecto,4
" 5'-nucleotidase, cytosolic IA",4
" 5'-nucleotidase, cytosolic IB",4
" 5'-nucleotidase, cytosolic II",4
 5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,4
 5-hydroxytryptamine receptor 1A,4
 5-hydroxytryptamine receptor 1B,4
 5-hydroxytryptamine receptor 1D,4
 5-hydroxytryptamine receptor 1E,4
 5-hydroxytryptamine receptor 1F,4
 ATP binding cassette subfamily G member 8,4
 ATPase H+/K+ transporting subunit beta,4
" indoleamine 2,3-dioxygenase 1",4
 CD209 molecule,4
 hydroxysteroid 17-beta dehydrogenase 7,4
 transaldolase 1,4
 hydroxysteroid 17-beta dehydrogenase 6,4
 glutamyl-prolyl-tRNA synthetase 1,4
" glutamyl-tRNA synthetase 2, mitochondrial",4
 glutaryl-CoA dehydrogenase,4
 transient receptor potential cation channel subfamily M member 7,4
 glycoprotein Ib platelet subunit alpha,4
 transketolase,4
 transketolase like 1,4
 CCAAT enhancer binding protein beta,4
 CCAAT enhancer binding protein alpha,4
 transketolase like 2,4
" translocated promoter region, nuclear basket protein",4
" trans-2,3-enoyl-CoA reductase",4
 hydroxysteroid 17-beta dehydrogenase 8,4
 CDP-diacylglycerol--inositol 3-phosphatidyltransferase,4
 thyroid peroxidase,4
 thymidylate synthetase,4
 thymidine phosphorylase,4
 CYP3A7-CYP3A51P readthrough,4
 glutamate metabotropic receptor 4,4
 glutamate metabotropic receptor 3,4
 glutamate metabotropic receptor 2,4
 D-aspartate oxidase,4
 thiosulfate sulfurtransferase,4
 thioredoxin 2,4
 thioredoxin,4
 glutamate decarboxylase like 1,4
 DNA damage inducible transcript 4,4
 DNA ligase 1,4
 C-type lectin domain family 4 member M,4
 glutathione-disulfide reductase,4
 C-type lectin domain containing 7A,4
 glycine cleavage system protein H,4
 hydroxyacid oxidase 1,4
 glycogen synthase kinase 3 alpha,4
 tumor suppressor candidate 3,4
 tumor protein p73,4
 BAR/IMD domain containing adaptor protein 2,4
 BCL2 related protein A1,4
 tryptophan hydroxylase 2,4
 tryptophan hydroxylase 1,4
" troponin T2, cardiac type",4
 tropomyosin 4,4
 hydroxyacid oxidase 2,4
 tropomyosin 2,4
 C-C motif chemokine ligand 13,4
 glycine decarboxylase,4
 C-C motif chemokine ligand 19,4
 transmembrane serine protease 2,4
 C-C motif chemokine ligand 21,4
 C-C motif chemokine ligand 22,4
 hydroxysteroid 11-beta dehydrogenase 1,4
 C-C motif chemokine ligand 25,4
 hydroxysteroid 11-beta dehydrogenase 1 like,4
 C-C motif chemokine ligand 28,4
 C-C motif chemokine ligand 7,4
 C-C motif chemokine receptor 10,4
 hydroxysteroid 17-beta dehydrogenase 10,4
 C-C motif chemokine receptor 9,4
 C-X-C motif chemokine ligand 11,4
 C-X-C motif chemokine ligand 9,4
 C-terminal binding protein 1,4
 C-terminal binding protein 2,4
 exportin 1,4
 H2B clustered histone 18,4
 protein tyrosine phosphatase receptor type F,4
 SEC61 translocon subunit beta,4
 protein tyrosine phosphatase non-receptor type 1,4
 Rho GTPase activating protein 35,4
 diacylglycerol O-acyltransferase 1,4
 Rho/Rac guanine nucleotide exchange factor 2,4
" SEC13 homolog, nuclear pore and COPII coat complex component",4
 protein kinase N1,4
 SEC61 translocon subunit alpha 1,4
 SEC61 translocon subunit alpha 2,4
 SEC61 translocon subunit gamma,4
 purine nucleoside phosphorylase,4
 protein inhibitor of activated STAT 4,4
 SIN3 transcription regulator family member A,4
 SLC9A3 regulator 1,4
 SMAD family member 1,4
 SMAD specific E3 ubiquitin protein ligase 1,4
 SMAD specific E3 ubiquitin protein ligase 2,4
 SNW domain containing 1,4
 defender against cell death 1,4
 diaphanous related formin 1,4
 purinergic receptor P2Y1,4
" ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1",4
 RAR related orphan receptor A,4
 ectonucleoside triphosphate diphosphohydrolase 3,4
 ectonucleoside triphosphate diphosphohydrolase 1,4
 early growth response 2,4
 dystrophin,4
 RAD51 recombinase,4
 ribose 5-phosphate isomerase A,4
 ribophorin II,4
 ribophorin I,4
 ribonuclease L,4
 dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit,4
 dynactin subunit 3,4
 itchy E3 ubiquitin protein ligase,4
 junctional adhesion molecule 2,4
 junctional adhesion molecule 3,4
 dual specificity phosphatase 1,4
 karyopherin subunit alpha 1,4
 dopamine receptor D5,4
 radixin,4
 prostaglandin E receptor 1,4
 kynurenine aminotransferase 1,4
 ectonucleoside triphosphate diphosphohydrolase 8,4
 cystathionine beta-synthase,4
 phosphoserine phosphatase,4
 cytochrome P450 family 11 subfamily B member 1,4
 cytochrome P450 2D6,4
" phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",4
 cytidine/uridine monophosphate kinase 1,4
 UDP-galactose-4-epimerase,4
 cysteine sulfinic acid decarboxylase,4
 cystathionine beta-synthase like,4
 cyclin dependent kinase 5,4
 plasminogen,4
 phosphogluconate dehydrogenase,4
 lipoprotein lipase,4
 phosphodiesterase 11A,4
 phosphodiesterase 10A,4
 cyclic nucleotide gated channel subunit beta 1,4
 phosphatidylinositol-5-phosphate 4-kinase type 2 gamma,4
 phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,4
 actin alpha cardiac muscle 1,4
 pipecolic acid and sarcosine oxidase,4
 cytochrome P450 family 2 subfamily C member 18,4
 STT3 oligosaccharyltransferase complex catalytic subunit A,4
 cytochrome P450 family 3 subfamily A member 7,4
 STT3 oligosaccharyltransferase complex catalytic subunit B,4
 kynurenine aminotransferase 3,4
 cytotoxic T-lymphocyte associated protein 4,4
 lamin A/C,4
 presenilin 2,4
 potassium inwardly rectifying channel subfamily J member 2,4
 potassium calcium-activated channel subfamily N member 4,4
 potassium calcium-activated channel subfamily N member 2,4
 leucine rich transmembrane and O-methyltransferase domain containing,4
 cytochrome P450 family 2 subfamily D member 6,4
 cytochrome P450 family 27 subfamily B member 1,4
 cytochrome P450 family 27 subfamily A member 1,4
 cytochrome P450 family 24 subfamily A member 1,4
 polo like kinase 1,4
 TNF superfamily member 13b,4
 TNF superfamily member 14,4
 platelet and endothelial cell adhesion molecule 1,4
 cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene),4
 ectonucleoside triphosphate diphosphohydrolase 4,4
 retinoic acid receptor beta,4
 sarcoglycan beta,4
 endothelin 2,4
 interleukin 11,4
 endothelin 3,4
 NEDD4 like E3 ubiquitin protein ligase,4
 NEDD4 E3 ubiquitin protein ligase,4
 interleukin 17D,4
 ribosomal protein S3,4
 selenoprotein I,4
 eukaryotic translation initiation factor 2 alpha kinase 1,4
 interleukin 33,4
 epiregulin,4
 NCK adaptor protein 2,4
 NCK adaptor protein 1,4
 sarcoglycan gamma,4
 interleukin 21,4
 sarcoglycan alpha,4
 NFS1 cysteine desulfurase,4
 N-acylsphingosine amidohydrolase 1,4
 PTEN induced kinase 1,4
 engulfment and cell motility 2,4
 N-acetyltransferase 1,4
 interleukin 17F,4
 interleukin 22,4
 sarcoglycan delta,4
 N-acetylglutamate synthase,4
 NT5C1B-RDH14 readthrough,4
" RAB11B, member RAS oncogene family",4
 interleukin 18 receptor 1,4
 interleukin 1 receptor accessory protein,4
 N-acetyltransferase 2,4
 interleukin 5 receptor subunit alpha,4
 interleukin 21 receptor,4
 scribble planar cell polarity protein,4
 euchromatic histone lysine methyltransferase 2,3
 lysophosphatidylcholine acyltransferase 2,3
 kynurenine 3-monooxygenase,3
 hydroxyacyl-thioester dehydratase type 2,3
 death associated protein kinase 2,3
 lysophosphatidylcholine acyltransferase 4,3
 death associated protein kinase 3,3
 lysophosphatidylcholine acyltransferase 1,3
 glycoprotein IX platelet,3
 death associated protein kinase 1,3
 interleukin 17 receptor A,3
 hyaluronidase 1,3
 hyaluronidase 2,3
 cytoplasmic FMR1 interacting protein 1,3
 cytoplasmic FMR1 interacting protein 2,3
 hyaluronidase 3,3
 glycoprotein V platelet,3
 glycoprotein Ib platelet subunit beta,3
 collagen beta(1-O)galactosyltransferase 2,3
 lysocardiolipin acyltransferase 1,3
 collagen beta(1-O)galactosyltransferase 1,3
 euchromatic histone lysine methyltransferase 1,3
 hyaluronidase 4,3
" core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1",3
 coproporphyrinogen oxidase,3
 folate hydrolase 1,3
 lactase,3
 eukaryotic translation elongation factor 1 alpha 1,3
 glycine amidinotransferase,3
 egl-9 family hypoxia inducible factor 1,3
 kynureninase,3
" glycerol-3-phosphate acyltransferase 2, mitochondrial",3
 glycerol kinase,3
" coenzyme Q2, polyprenyltransferase",3
" mannose-6-phosphate receptor, cation dependent",3
 defensin alpha 6,3
 kinesin family member 7,3
 choline kinase alpha,3
 macrophage migration inhibitory factor,3
" mago homolog B, exon junction complex subunit",3
" mago homolog, exon junction complex subunit",3
 choline kinase beta,3
 glutathione peroxidase 4,3
 defensin beta 4A,3
 complement factor D,3
 complement factor B,3
 defensin beta 4B,3
 glycerol kinase 2,3
 glycerol-3-phosphate acyltransferase 3,3
 interleukin 17 receptor C,3
" coenzyme Q3, methyltransferase",3
 hydroxymethylbilane synthase,3
" coenzyme Q7, hydroxylase",3
 cholecystokinin,3
 integrin subunit alpha X,3
 defensin alpha 1B,3
 hydroxysteroid 11-beta dehydrogenase 2,3
 defensin alpha 3,3
 defensin alpha 4,3
 hydroxysteroid 17-beta dehydrogenase 1,3
" coenzyme Q6, monooxygenase",3
 defensin alpha 5,3
" glycerol-3-phosphate acyltransferase, mitochondrial",3
 glycerol-3-phosphate acyltransferase 4,3
 cholecystokinin B receptor,3
" coenzyme Q5, methyltransferase",3
 defensin alpha 1,3
 corticotropin releasing hormone receptor 2,3
 histone deacetylase 9,3
 cytidine deaminase,3
 cullin 4B,3
" lipase A, lysosomal acid type",3
 cysteine dioxygenase type 1,3
 ferritin heavy chain 1,3
 heat shock protein family A (Hsp70) member 4,3
 ferritin light chain,3
 cullin 4A,3
 cytidine monophosphate N-acetylneuraminic acid synthetase,3
 fibroblast growth factor receptor substrate 2,3
 ferrochelatase,3
 cytidine/uridine monophosphate kinase 2,3
 eukaryotic translation initiation factor 4A3,3
 malonyl-CoA-acyl carrier protein transacylase,3
 cytochrome P450 family 11 subfamily B member 2,3
 interleukin 11 receptor subunit alpha,3
 cytochrome P450 family 19 subfamily A member 1,3
" lipase C, hepatic type",3
 fatty acid desaturase 1,3
" lipase F, gastric type",3
" lipase G, endothelial type",3
 interferon epsilon,3
" extra spindle pole bodies like 1, separase",3
 cyclic nucleotide gated channel subunit alpha 1,3
 heparanase,3
 heme oxygenase 2,3
 heparanase 2 (inactive),3
 lipoyltransferase 1,3
 lipoyl(octanoyl) transferase 2,3
 fatty acid binding protein 1,3
 cyclin H,3
 lipoic acid synthetase,3
 eukaryotic translation initiation factor 4B,3
 cyclin dependent kinase 5 regulatory subunit 1,3
 cyclin dependent kinase 7,3
 heat shock protein family B (small) member 1,3
 interleukin 13 receptor subunit alpha 1,3
" guanylate cyclase 2F, retinal",3
 ceramide synthase 6,3
 hydroxysteroid 17-beta dehydrogenase 2,3
 leucine aminopeptidase 3,3
 gonadotropin releasing hormone 2,3
 gonadotropin releasing hormone 1,3
 cytochrome P450 family 8 subfamily B member 1,3
 lecithin retinol acyltransferase,3
 histone deacetylase 7,3
 lysine methyltransferase 2D,3
 cytochrome c oxidase copper chaperone COX11,3
 heterogeneous nuclear ribonucleoprotein K,3
 histone deacetylase 8,3
 cytochrome c oxidase copper chaperone COX17,3
 ceramide synthase 1,3
 ceramide synthase 2,3
 ceramide synthase 3,3
 ceramide synthase 4,3
 ceramide synthase 5,3
 mitochondrial methionyl-tRNA formyltransferase,3
 lymphotoxin beta,3
 eukaryotic translation elongation factor 1 alpha 2,3
 histone deacetylase 11,3
 hexosaminidase D,3
 hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,3
 guanine monophosphate synthase,3
 guanidinoacetate N-methyltransferase,3
 growth hormone secretagogue receptor,3
 cytochrome P450 family 2 subfamily S member 1,3
 cytochrome P450 family 2 subfamily U member 1,3
 histamine receptor H1,3
 histamine receptor H2,3
 fizzy and cell division cycle 20 related 1,3
 flap structure-specific endonuclease 1,3
 growth differentiation factor 6,3
 growth differentiation factor 5,3
 flavin adenine dinucleotide synthetase 1,3
 histone deacetylase 10,3
 dehydrogenase E1 and transketolase domain containing 1,3
 killer cell lectin like receptor C1,3
 kinase suppressor of ras 1,3
 galactosylceramidase,3
 galactose mutarotase,3
 galactosamine (N-acetyl)-6-sulfatase,3
 galactokinase 2,3
 karyopherin subunit alpha 2,3
 inositol-tetrakisphosphate 1-kinase,3
 enhancer of zeste 2 polycomb repressive complex 2 subunit,3
 mannosyl-oligosaccharide glucosidase,3
 interleukin 27 receptor subunit alpha,3
 dual specificity phosphatase 6,3
 dynamin 1 like,3
 dynein axonemal heavy chain 1,3
 fucosyltransferase 4,3
 fucosyltransferase 2,3
 fucosyltransferase 1 (H blood group),3
 dynein axonemal heavy chain 10,3
 dynein axonemal heavy chain 11,3
 dynein axonemal heavy chain 12,3
 galactose-3-O-sulfotransferase 1,3
 inositol-pentakisphosphate 2-kinase,3
 dehydrogenase/reductase 3,3
 karyopherin subunit alpha 3,3
 inositol polyphosphate-4-phosphatase type I A,3
 inositol polyphosphate-4-phosphatase type II B,3
 membrane bound O-acyltransferase domain containing 1,3
 interleukin 24,3
 gastric inhibitory polypeptide,3
 gasdermin D,3
 inositol polyphosphate-5-phosphatase B,3
 gamma-glutamyltransferase 7,3
 gamma-glutamyltransferase 6,3
 karyopherin subunit alpha 7,3
 karyopherin subunit alpha 6,3
 inositol polyphosphate-5-phosphatase E,3
 gamma-glutamyl hydrolase,3
 gamma-glutamyl carboxylase,3
 inositol polyphosphate-5-phosphatase F,3
 karyopherin subunit alpha 5,3
 karyopherin subunit alpha 4,3
 dynein axonemal heavy chain 14,3
 dynein axonemal heavy chain 17,3
 dynein axonemal heavy chain 2,3
 dynein axonemal heavy chain 3,3
 mastermind like transcriptional coactivator 1,3
 dynein cytoplasmic 2 heavy chain 1,3
 endoplasmic reticulum oxidoreductase 1 alpha,3
 mastermind like transcriptional coactivator 2,3
 emerin,3
 early endosome antigen 1,3
 mastermind like transcriptional coactivator 3,3
 early growth response 3,3
 interleukin 9 receptor,3
 ectonucleoside triphosphate diphosphohydrolase 2,3
" elastase, neutrophil expressed",3
 egl-9 family hypoxia inducible factor 3,3
 ectonucleoside triphosphate diphosphohydrolase 5 (inactive),3
 matrix metallopeptidase 14,3
 ectonucleoside triphosphate diphosphohydrolase 6,3
 egl-9 family hypoxia inducible factor 2,3
 interleukin 9,3
 dynein cytoplasmic 1 light intermediate chain 2,3
 dynein cytoplasmic 1 light intermediate chain 1,3
 dynein cytoplasmic 1 intermediate chain 2,3
 dynein axonemal heavy chain 8,3
 formyl peptide receptor 3,3
 formyl peptide receptor 2,3
 dynein axonemal heavy chain 5,3
 formimidoyltransferase cyclodeaminase,3
 dynein axonemal heavy chain 6,3
 forkhead box O4,3
 dynein axonemal heavy chain 7,3
 dynein axonemal heavy chain 9,3
 dynein cytoplasmic 1 intermediate chain 1,3
 dynein axonemal intermediate chain 1,3
 dynein axonemal intermediate chain 2,3
 dynein axonemal light chain 1,3
 dynein axonemal light chain 4,3
 dynein axonemal light intermediate chain 1,3
 follicle stimulating hormone receptor,3
 dynein cytoplasmic 1 heavy chain 1,3
 membrane bound O-acyltransferase domain containing 2,3
 inositol polyphosphate-1-phosphatase,3
 gelsolin,3
 glucosamine-phosphate N-acetyltransferase 1,3
" killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2",3
 interleukin 20,3
" killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1",3
 desmin,3
 glucosylceramidase beta 2,3
 cholinergic receptor muscarinic 4,3
 mannosidase alpha class 2A member 1,3
 microRNA 10a,3
 diacylglycerol O-acyltransferase 2,3
 indolethylamine N-methyltransferase,3
 mevalonate kinase,3
 cholinergic receptor nicotinic alpha 3 subunit,3
" glucosidase alpha, neutral C",3
 cholinergic receptor nicotinic alpha 6 subunit,3
 glucosidase II alpha subunit,3
 interleukin 20 receptor subunit alpha,3
 inhibin subunit beta A,3
" killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3",3
" killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1",3
 derlin 1,3
 glutamate metabotropic receptor 8,3
 dehydrogenase/reductase 4,3
 killer cell lectin like receptor D1,3
" delta 4-desaturase, sphingolipid 1",3
" delta 4-desaturase, sphingolipid 2",3
 matrix metallopeptidase 13,3
 interleukin 18 receptor accessory protein,3
 interleukin 19,3
 glutamate metabotropic receptor 7,3
 iduronate 2-sulfatase,3
 glutamate metabotropic receptor 6,3
 deoxycytidine kinase,3
" killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A",3
" killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3",3
" killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2",3
 hypoxanthine phosphoribosyltransferase 1,3
 deoxyuridine triphosphatase,3
 inhibin subunit beta B,3
 inhibin subunit beta C,3
 inositol polyphosphate multikinase,3
 inhibin subunit beta E,3
 general transcription factor IIB,3
 dihydrodiol dehydrogenase,3
 dihydrolipoamide branched chain transacylase E2,3
" methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",3
 dihydroorotate dehydrogenase (quinone),3
 methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like,3
 methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like,3
" methionyl-tRNA synthetase 2, mitochondrial",3
 methionyl-tRNA synthetase 1,3
 discs large MAGUK scaffold protein 2,3
 discs large MAGUK scaffold protein 3,3
 mannosidase alpha class 2A member 2,3
" dolichyl-phosphate mannosyltransferase subunit 2, regulatory",3
 interleukin 22 receptor subunit alpha 1,3
 inositol monophosphatase 2,3
 metabolism of cobalamin associated B,3
 dopachrome tautomerase,3
 inositol monophosphatase 1,3
 general transcription factor IIH subunit 1,3
 general transcription factor IIH subunit 2,3
 inosine monophosphate dehydrogenase 1,3
 glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,3
 glucosamine (N-acetyl)-6-sulfatase,3
 interleukin 20 receptor subunit beta,3
 interferon omega 1,3
 glucagon like peptide 1 receptor,3
 dickkopf WNT signaling pathway inhibitor 1,3
 cholinergic receptor nicotinic beta 4 subunit,3
 methylenetetrahydrofolate reductase,3
 dickkopf WNT signaling pathway inhibitor 4,3
" methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",3
 ghrelin and obestatin prepropeptide,3
 inosine monophosphate dehydrogenase 2,3
 dickkopf WNT signaling pathway inhibitor 2,3
 inosine triphosphatase,3
 general transcription factor IIH subunit 4,3
 general transcription factor IIH subunit 3,3
 interferon kappa,3
 heparan-alpha-glucosaminide N-acetyltransferase,3
 thioredoxin reductase 1,3
" DNA polymerase epsilon 2, accessory subunit",3
 DNA methyltransferase 3 beta,3
 potassium inwardly rectifying channel subfamily J member 11,3
 DNA polymerase beta,3
 TAR DNA binding protein,3
 potassium two pore domain channel subfamily K member 2,3
 potassium two pore domain channel subfamily K member 3,3
 T-box transcription factor 21,3
" DNA polymerase epsilon 3, accessory subunit",3
 potassium calcium-activated channel subfamily U member 1,3
" DNA polymerase epsilon 4, accessory subunit",3
" DNA polymerase epsilon, catalytic subunit",3
 Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase,3
 synuclein alpha,3
 prion protein,3
 pro-platelet basic protein,3
" procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",3
 DNA methyltransferase 3 alpha,3
 DNA methyltransferase 1,3
 SUFU negative regulator of hedgehog signaling,3
 polypeptide N-acetylgalactosaminyltransferase 7,3
 polypeptide N-acetylgalactosaminyltransferase 17,3
 polypeptide N-acetylgalactosaminyltransferase 18,3
 polypeptide N-acetylgalactosaminyltransferase 2,3
 polypeptide N-acetylgalactosaminyltransferase 3,3
 polypeptide N-acetylgalactosaminyltransferase 4,3
 polypeptide N-acetylgalactosaminyltransferase 5,3
 polypeptide N-acetylgalactosaminyltransferase 6,3
 polypeptide N-acetylgalactosaminyltransferase 8,3
 potassium calcium-activated channel subfamily M regulatory beta subunit 4,3
 polypeptide N-acetylgalactosaminyltransferase 9,3
 TBC1 domain family member 4,3
 polypeptide N-acetylgalactosaminyltransferase like 5,3
 polypeptide N-acetylgalactosaminyltransferase like 6,3
 potassium calcium-activated channel subfamily M regulatory beta subunit 1,3
 potassium calcium-activated channel subfamily M regulatory beta subunit 2,3
 potassium calcium-activated channel subfamily M regulatory beta subunit 3,3
 programmed cell death 1,3
 DOT1 like histone lysine methyltransferase,3
 polypeptide N-acetylgalactosaminyltransferase 15,3
" SEC22 homolog B, vesicle trafficking protein",3
 SET domain bifurcated histone lysine methyltransferase 1,3
 SEH1 like nucleoporin,3
 EMAP like 4,3
 ENAH actin regulator,3
 protein kinase D1,3
 protein kinase D2,3
 protein kinase D3,3
 protein kinase N2,3
 sulfotransferase family 2A member 1,3
 SAC1 like phosphatidylinositide phosphatase,3
 stratifin,3
" protein kinase, membrane associated tyrosine/threonine 1",3
" ERCC excision repair 1, endonuclease non-catalytic subunit",3
 steroid 5 alpha-reductase 3,3
 steroid 5 alpha-reductase 2,3
 ETS transcription factor ELK4,3
" SET domain containing 7, histone lysine methyltransferase",3
 protein inhibitor of activated STAT 1,3
" ST6 beta-galactoside alpha-2,6-sialyltransferase 2",3
 prostaglandin I2 receptor,3
" ST6 beta-galactoside alpha-2,6-sialyltransferase 1",3
" ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4",3
" ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",3
 synaptojanin 2,3
 synaptojanin 1,3
 prostaglandin E synthase 3,3
 prostaglandin F receptor,3
 SMCR8-C9orf72 complex subunit,3
 E2F transcription factor 5,3
 SHANK associated RH domain interactor,3
 proteasome activator subunit 3,3
 protein O-mannosyltransferase 1,3
 protein O-mannosyltransferase 2,3
 E2F transcription factor 4,3
" protein associated with LIN7 1, MAGUK p55 family member",3
 protein disulfide isomerase family A member 4,3
 polypeptide N-acetylgalactosaminyltransferase 16,3
 polypeptide N-acetylgalactosaminyltransferase 14,3
 Ras related GTP binding C,3
 CD74 molecule,3
 phosphomevalonate kinase,3
 phosphopantothenoylcysteine decarboxylase,3
 phosphopantothenoylcysteine synthetase,3
 CD55 molecule (Cromer blood group),3
 UDP-glucuronate decarboxylase 1,3
 phosphoribosyl pyrophosphate amidotransferase,3
 transcription factor 3,3
 toll like receptor 8,3
 phospholipase D family member 3,3
 UDP-N-acetylglucosamine pyrophosphorylase 1 like 1,3
 UDP-N-acetylglucosamine pyrophosphorylase 1,3
 CD81 molecule,3
" UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3",3
" UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",3
 UDP glycosyltransferase 8,3
 phosphorylase kinase catalytic subunit gamma 1,3
 phospholipase D family member 4,3
 transcription factor binding to IGHM enhancer 3,3
 phosphorylase kinase regulatory subunit alpha 1,3
 phosphoglycolate phosphatase,3
 CD1a molecule,3
 CD1b molecule,3
 CD1c molecule,3
 phosphoglucomutase 3,3
 X-C motif chemokine receptor 1,3
 X-C motif chemokine ligand 2,3
 X-C motif chemokine ligand 1,3
 CD1d molecule,3
 VAMP associated protein B and C,3
 CD1e molecule,3
 WD repeat domain 41,3
 WAS/WASL interacting protein family member 3,3
 WAS/WASL interacting protein family member 2,3
 WAS/WASL interacting protein family member 1,3
 CD22 molecule,3
 transferrin,3
 phosphorylase kinase catalytic subunit gamma 2,3
 phosphorylase kinase regulatory subunit alpha 2,3
 polypeptide N-acetylgalactosaminyltransferase 13,3
 N-acetylglucosamine kinase,3
 thrombopoietin,3
 DCC netrin 1 receptor,3
 thrombomodulin,3
 TNF receptor associated factor 4,3
 thioredoxin reductase 3,3
 thioredoxin reductase 2,3
 DEAD-box helicase 3 X-linked,3
 DEAD-box helicase 5,3
 Coenzyme A synthase,3
 thiamin pyrophosphokinase 1,3
 DExD-box helicase 39B,3
 telomerase RNA component,3
 polypeptide N-acetylgalactosaminyltransferase 1,3
 polypeptide N-acetylgalactosaminyltransferase 10,3
 polypeptide N-acetylgalactosaminyltransferase 11,3
 polypeptide N-acetylgalactosaminyltransferase 12,3
 thromboxane A synthase 1,3
 thromboxane A2 receptor,3
 phosphorylase kinase regulatory subunit beta,3
 CTP synthase 1,3
 CDP-L-ribitol pyrophosphorylase A,3
 pituitary tumor-transforming 2,3
 CDP-diacylglycerol synthase 1,3
 CDP-diacylglycerol synthase 2,3
 TP53 induced glycolysis regulatory phosphatase,3
 COMMD3-BMI1 readthrough,3
 platelet activating factor receptor,3
 TNF superfamily member 13,3
 TNF receptor superfamily member 13B,3
 CTP synthase 2,3
 platelet factor 4,3
 platelet factor 4 variant 1,3
 polo like kinase 3,3
 TNF receptor superfamily member 14,3
 thymidine kinase 2,3
 thymidine kinase 1,3
 Ras related GTP binding D,3
 Ras related GTP binding B,3
 phosphodiesterase 7A,3
 POC1B-GALNT4 readthrough,3
 solute carrier family 1 member 1,3
 PR/SET domain 16,3
 Kruppel like factor 2,3
 LDL receptor related protein 1,3
 LDL receptor related protein 2,3
